Node,Layer,Core Domain
Filariasis,Main Concept,Health & Medical Sciences
Turing test,Main Concept,Formal Sciences
Coherent risk measure,Main Concept,Engineering & Technology
Sociobiology,Main Concept,Social Sciences & Humanities
Lie algebra,Main Concept,Formal Sciences
Ceramic,Main Concept,Health & Medical Sciences
Coal combustion products,Main Concept,Life Sciences
Ovariole,Main Concept,Life Sciences
Video production,Main Concept,Social Sciences
Doing gender,Main Concept,Social Sciences
Ice formation,Main Concept,Engineering & Technology
Identity crisis,Main Concept,Social Sciences & Humanities
Uncanny valley,Main Concept,Social Sciences & Humanities
Intestinal metaplasia,Main Concept,Health & Medical Sciences
Decomposer,Main Concept,Life Sciences
Image and Signal Denoising Methods,Core Thematic Domain,Formal Sciences
Subsidiarity,Main Concept,Social Sciences & Humanities
Computational sociology,Main Concept,Social Sciences
Sleep Bruxism,Main Concept,Health & Medical Sciences
Pneumonia and Respiratory Infections,Core Thematic Domain,Health & Medical Sciences
Temperature measurement,Main Concept,Engineering & Technology
Biofilm,Main Concept,Life Sciences
Circadian clock,Main Concept,Life Sciences
Geotechnical Engineering and Soil Mechanics,Core Thematic Domain,Engineering & Technology
Efflux,Main Concept,Life Sciences
Schizoaffective disorder,Main Concept,Social Sciences & Humanities
Circular RNAs in diseases,Core Thematic Domain,Life Sciences
Persona,Main Concept,Formal Sciences
Silicon nitride,Main Concept,Engineering & Technology
Rofecoxib,Main Concept,Health & Medical Sciences
Microstructured optical fiber,Main Concept,Engineering & Technology
Carcinoma,Main Concept,Health & Medical Sciences
Lexicographical order,Main Concept,Formal Sciences
Constraint programming,Main Concept,Formal Sciences
Measuring poverty,Main Concept,Social Sciences
Wavenumber,Main Concept,Natural Sciences
Laryngoscopy,Main Concept,Health & Medical Sciences
Positivism,Main Concept,Social Sciences & Humanities
Block cipher,Main Concept,Formal Sciences
Cheek pouch,Main Concept,Health & Medical Sciences
Glycoside,Main Concept,Life Sciences
Cancer metastasis,Main Concept,Life Sciences
Follicular hyperplasia,Main Concept,Health & Medical Sciences
Expressed sequence tag,Main Concept,Life Sciences
Fungal Diversity,Main Concept,Life Sciences
Legal history,Main Concept,Social Sciences & Humanities
Neurofibromin 1,Main Concept,Health & Medical Sciences
Candida albicans,Main Concept,Life Sciences
Myogenin,Main Concept,Health & Medical Sciences
Critical literacy,Main Concept,Social Sciences & Humanities
Childhood obesity,Main Concept,Social Sciences & Humanities
Environmental and Sediment Control,Core Thematic Domain,Natural Sciences
Stop codon,Main Concept,Health & Medical Sciences
Calcium-binding protein,Main Concept,Health & Medical Sciences
Adenomatous polyps,Main Concept,Health & Medical Sciences
Condensed Matter Physics,Academic Subdiscipline,Natural Sciences
Models of communication,Main Concept,Social Sciences & Humanities
Chemotherapy-induced organ toxicity mitigation,Core Thematic Domain,Health & Medical Sciences
Manufacturing Process and Optimization,Core Thematic Domain,Natural Sciences
Phallic stage,Main Concept,Social Sciences & Humanities
Polyoxometalate,Main Concept,Engineering & Technology
Wishful thinking,Main Concept,Health & Medical Sciences
Fire protection,Main Concept,Natural Sciences
Older people,Main Concept,Social Sciences & Humanities
Biohydrogen,Main Concept,Engineering & Technology
Public transport,Main Concept,Social Sciences & Humanities
Neuromuscular transmission,Main Concept,Health & Medical Sciences
Market size,Main Concept,Social Sciences & Humanities
Sexual dysfunction,Main Concept,Social Sciences & Humanities
Accidental,Main Concept,Health & Medical Sciences
Food Security and Socioeconomic Dynamics,Core Thematic Domain,Life Sciences
Lyapunov function,Main Concept,Formal Sciences
Aqueous suspension,Main Concept,Natural Sciences
Allegory,Main Concept,Social Sciences & Humanities
Translation studies,Main Concept,Social Sciences & Humanities
Personality Traits and Psychology,Core Thematic Domain,Social Sciences & Humanities
QR decomposition,Main Concept,Formal Sciences
Drug carrier,Main Concept,Life Sciences
Fragment crystallizable region,Main Concept,Life Sciences
Tropical climate,Main Concept,Life Sciences
Callable bond,Main Concept,Social Sciences & Humanities
Physics engine,Main Concept,Formal Sciences
Thermal energy storage,Main Concept,Social Sciences & Humanities
Solvent extraction,Main Concept,Health & Medical Sciences
Sex work and related issues,Core Thematic Domain,Social Sciences
Cultural anthropology,Main Concept,Social Sciences & Humanities
Malay,Main Concept,Life Sciences
Neutron star,Main Concept,Natural Sciences
Point (geometry),Main Concept,Social Sciences & Humanities
Turbo code,Main Concept,Formal Sciences
Chronic myelogenous leukemia,Main Concept,Life Sciences
Haven,Main Concept,Life Sciences
Degloving,Main Concept,Life Sciences
Veneration,Main Concept,Social Sciences & Humanities
Autoregressive model,Main Concept,Formal Sciences
Receptive field,Main Concept,Life Sciences
Masculinity,Main Concept,Social Sciences
Rock mass classification,Main Concept,Engineering & Technology
Translational medicine,Main Concept,Health & Medical Sciences
Statistical and Computational Modeling,Core Thematic Domain,Formal Sciences
Logic optimization,Main Concept,Formal Sciences
Beneficial insects,Main Concept,Life Sciences
Polyene,Main Concept,Natural Sciences
Neurogenesis,Main Concept,Life Sciences
Alpha particle,Main Concept,Life Sciences
Data structure,Main Concept,Formal Sciences
Droperidol,Main Concept,Health & Medical Sciences
Quasistatic process,Main Concept,Engineering & Technology
Poromechanics,Main Concept,Engineering & Technology
Voice,Main Concept,Social Sciences & Humanities
Arterial tree,Main Concept,Health & Medical Sciences
Mental Health and Psychiatry,Core Thematic Domain,Social Sciences & Humanities
On board,Main Concept,Natural Sciences
Conservation Techniques and Studies,Core Thematic Domain,Social Sciences & Humanities
Statistics Education and Methodologies,Core Thematic Domain,Formal Sciences
Polyneuropathy,Main Concept,Health & Medical Sciences
Canonical transformation,Main Concept,Engineering & Technology
Lifelong learning,Main Concept,Formal Sciences
Public Health and Social Inequalities,Core Thematic Domain,Social Sciences
Distribution board,Main Concept,Engineering & Technology
Electric Power System Optimization,Core Thematic Domain,Engineering & Technology
Singular boundary method,Main Concept,Engineering & Technology
Monetary policy,Main Concept,Life Sciences
Interaction point,Main Concept,Natural Sciences
Climate change,Main Concept,Social Sciences & Humanities
Extractivism and Socioeconomic Issues,Core Thematic Domain,Social Sciences
Covalent organic framework,Main Concept,Engineering & Technology
Tornado,Main Concept,Natural Sciences
Social isolation,Main Concept,Health & Medical Sciences
Bone tissue,Main Concept,Health & Medical Sciences
C-C chemokine receptor type 7,Main Concept,Health & Medical Sciences
Oribatida,Main Concept,Life Sciences
Repolarization,Main Concept,Health & Medical Sciences
Land law,Main Concept,Social Sciences
Language learning strategies,Main Concept,Formal Sciences
Dengue and Mosquito Control Research,Core Thematic Domain,Social Sciences
Hydrogen fuel,Main Concept,Engineering & Technology
Chern class,Main Concept,Natural Sciences
Urban Transport Systems Analysis,Core Thematic Domain,Engineering & Technology
Tonsillectomy,Main Concept,Health & Medical Sciences
Naval architecture,Main Concept,Engineering & Technology
Extraterrestrial life,Main Concept,Natural Sciences
Climate protection,Main Concept,Natural Sciences
Military Strategy and Technology,Core Thematic Domain,Engineering & Technology
Industrial Automation and Control Systems,Core Thematic Domain,Engineering & Technology
Agricultural land,Main Concept,Life Sciences
Hyperbolic partial differential equation,Main Concept,Engineering & Technology
Smut,Main Concept,Life Sciences
Hierarchical network model,Main Concept,Social Sciences & Humanities
Intrinsic immunity,Main Concept,Health & Medical Sciences
Corneal topography,Main Concept,Health & Medical Sciences
Agarose gel electrophoresis,Main Concept,Life Sciences
DNA repair,Main Concept,Health & Medical Sciences
Valorisation,Main Concept,Life Sciences
Multiple displacement amplification,Main Concept,Life Sciences
CDKN2A,Main Concept,Life Sciences
Bone Density Conservation Agents,Main Concept,Health & Medical Sciences
Fresnel diffraction,Main Concept,Engineering & Technology
Monoculture,Main Concept,Life Sciences
Spotting,Main Concept,Formal Sciences
Tardigrada,Main Concept,Life Sciences
Roseburia,Main Concept,Life Sciences
Latitude,Main Concept,Life Sciences
Job strain,Main Concept,Social Sciences & Humanities
Cancer Research and Treatments,Core Thematic Domain,Life Sciences
Occupational and Professional Licensing Regulation,Core Thematic Domain,Social Sciences & Humanities
Inner mitochondrial membrane,Main Concept,Health & Medical Sciences
Point group,Main Concept,Formal Sciences
Event calculus,Main Concept,Formal Sciences
RNA and protein synthesis mechanisms,Core Thematic Domain,Life Sciences
Very low-density lipoprotein,Main Concept,Health & Medical Sciences
Consensus algorithm,Main Concept,Formal Sciences
Celtic languages,Main Concept,Social Sciences & Humanities
Hypersonic speed,Main Concept,Engineering & Technology
Biological materials,Main Concept,Engineering & Technology
Axon,Main Concept,Life Sciences
Customer Service Assurance,Main Concept,Formal Sciences
Toolbox,Main Concept,Social Sciences & Humanities
Metathesis,Main Concept,Natural Sciences
Star (game theory),Main Concept,Social Sciences & Humanities
Propagule,Main Concept,Life Sciences
Panorama,Main Concept,Social Sciences
Emergency Medical Services,Academic Subdiscipline,Health & Medical Sciences
Family therapy,Main Concept,Social Sciences & Humanities
Perovskite Materials and Applications,Core Thematic Domain,Engineering & Technology
MD5,Main Concept,Formal Sciences
European Law and Migration,Core Thematic Domain,Social Sciences
Shigella dysenteriae,Main Concept,Health & Medical Sciences
Cluster state,Main Concept,Formal Sciences
Concatenated error correction code,Main Concept,Formal Sciences
Gaussian,Main Concept,Formal Sciences
Generality,Main Concept,Formal Sciences
Liver failure,Main Concept,Health & Medical Sciences
Faecalibacterium prausnitzii,Main Concept,Health & Medical Sciences
Flagship species,Main Concept,Natural Sciences
Uridine,Main Concept,Life Sciences
Tannin,Main Concept,Life Sciences
Palm oil,Main Concept,Life Sciences
Plasma cell,Main Concept,Health & Medical Sciences
Religion and Sociopolitical Dynamics in Nigeria,Core Thematic Domain,Social Sciences
Thalidomide,Main Concept,Life Sciences
Magnetic properties of thin films,Core Thematic Domain,Natural Sciences
Healthcare Quality and Management,Core Thematic Domain,Health & Medical Sciences
Advanced Neural Network Applications,Core Thematic Domain,Formal Sciences
Code division multiple access,Main Concept,Formal Sciences
Botrytis cinerea,Main Concept,Life Sciences
Foot and Ankle Surgery,Core Thematic Domain,Health & Medical Sciences
Lab-on-a-chip,Main Concept,Engineering & Technology
Paddy field,Main Concept,Life Sciences
Java applet,Main Concept,Life Sciences
Cryptography and Data Security,Core Thematic Domain,Formal Sciences
Phototoxicity,Main Concept,Health & Medical Sciences
Humanitarian aid,Main Concept,Social Sciences
Stability (learning theory),Main Concept,Formal Sciences
Eucalyptus,Main Concept,Health & Medical Sciences
Parametrization (atmospheric modeling),Main Concept,Engineering & Technology
Binding energy,Main Concept,Engineering & Technology
Andesite,Main Concept,Formal Sciences
Personal selling,Main Concept,Formal Sciences
Sorghum,Main Concept,Life Sciences
Vulnerability management,Main Concept,Formal Sciences
KRAS,Main Concept,Health & Medical Sciences
Fluid ounce (US),Main Concept,Social Sciences
Spatial filter,Main Concept,Formal Sciences
Phase plane,Main Concept,Life Sciences
Body weight,Main Concept,Life Sciences
Interoception,Main Concept,Social Sciences & Humanities
Megacity,Main Concept,Social Sciences & Humanities
Triphenylarsine,Main Concept,Natural Sciences
Web of Things,Main Concept,Formal Sciences
Tool wear,Main Concept,Engineering & Technology
Social reproduction,Main Concept,Social Sciences & Humanities
Histogram,Main Concept,Formal Sciences
Particle size,Main Concept,Life Sciences
Estrogen therapy,Main Concept,Health & Medical Sciences
Molecular symmetry,Main Concept,Natural Sciences
Ascophyllum,Main Concept,Life Sciences
Microarchitecture,Main Concept,Engineering & Technology
Colorectal Cancer Surgical Treatments,Core Thematic Domain,Health & Medical Sciences
Subarctic climate,Main Concept,Natural Sciences
Banana Cultivation and Research,Core Thematic Domain,Life Sciences
Impulse control disorder,Main Concept,Social Sciences & Humanities
Pelvic Floor Disorders,Main Concept,Health & Medical Sciences
Lexical grammar,Main Concept,Social Sciences
Valuation of options,Main Concept,Social Sciences & Humanities
URA3,Main Concept,Life Sciences
Mindfulness,Main Concept,Social Sciences & Humanities
Monarchy,Main Concept,Social Sciences & Humanities
Religion and Society Interactions,Core Thematic Domain,Social Sciences
